brand_name,model,price,rating,has_5g,has_nfc,has_ir_blaster,processor_brand,num_cores,processor_speed,battery_capacity,fast_charging_available,fast_charging,ram_capacity,internal_memory,screen_size,refresh_rate,resolution,num_rear_cameras,num_front_cameras,os,primary_camera_rear,primary_camera_front,extended_memory_available,extended_upto
apple,Apple iPhone 14 Pro Max,129990,76.0,True,True,False,bionic,6.0,,4323.0,1,,6.0,128.0,6.7,120,1290 x 2796 ,3,1.0,ios,48.0,12.0,0,0.0
samsung,Samsung Galaxy A34 5G,24999,75.0,True,True,False,exynos,8.0,,5000.0,1,33.0,6.0,128.0,6.5,90,1080 x 2400 ,4,1.0,android,48.0,13.0,1,1024.0
apple,Apple iPhone 14 Pro,119990,75.0,True,True,False,bionic,6.0,,3200.0,1,,6.0,128.0,6.1,120,1179 x 2556 ,3,1.0,ios,48.0,12.0,0,0.0
tesla,Tesla Pi Phone,69999,83.0,True,True,False,Unknown,8.0,,5000.0,1,120.0,16.0,512.0,6.73,165,1080 x 2448 ,3,1.0,android,50.0,32.0,0,0.0
google,Google Pixel 6A,29999,71.0,True,True,False,google,8.0,,4410.0,1,,6.0,128.0,6.14,60,1080 x 2400 ,2,1.0,android,12.2,8.0,0,0.0
google,Google Pixel 7A,34990,69.0,True,True,False,google,8.0,,4410.0,1,,6.0,128.0,6.1,90,1080 x 2400 ,2,1.0,android,12.2,8.0,0,0.0
samsung,Samsung Galaxy A54 5G,34999,76.0,True,True,False,exynos,8.0,,5000.0,1,25.0,6.0,128.0,6.4,120,1080 x 2400 ,3,1.0,android,50.0,32.0,1,1024.0
apple,Apple iPhone 14 Pro Max (256GB),139990,77.0,True,True,False,bionic,6.0,,4323.0,1,,6.0,256.0,6.7,120,1290 x 2796 ,3,1.0,ios,48.0,12.0,0,0.0
samsung,Samsung Galaxy A75 5G,44999,83.0,True,True,False,snapdragon,8.0,,5000.0,1,67.0,8.0,128.0,6.7,120,1080 x 2412 ,4,1.0,android,108.0,32.0,1,1024.0
samsung,Samsung Galaxy S22 FE 5G,51999,79.0,True,True,False,exynos,8.0,,4200.0,1,33.0,8.0,128.0,6.4,120,1080 x 2400 ,3,1.0,android,12.0,32.0,0,0.0
apple,Apple iPhone 14 Pro Max (1TB),182999,78.0,True,True,False,bionic,6.0,,4323.0,1,,6.0,1024.0,6.7,120,1290 x 2796 ,3,1.0,ios,48.0,12.0,0,0.0
samsung,Samsung Galaxy S24 Ultra,119990,85.0,True,False,False,snapdragon,8.0,,5100.0,1,45.0,12.0,256.0,6.83,144,1200 x 2860 ,4,1.0,android,200.0,60.0,0,0.0
apple,Apple iPhone 15 Ultra,149900,79.0,True,True,False,bionic,8.0,,4700.0,1,,8.0,128.0,6.73,120,1290 x 2796 ,3,1.0,ios,48.0,12.0,0,0.0
apple,Apple iPhone 14 Pro (256GB),129990,76.0,True,True,False,bionic,6.0,,3200.0,1,,6.0,256.0,6.1,120,1179 x 2556 ,3,1.0,ios,48.0,12.0,0,0.0
samsung,Samsung Galaxy A15,15990,63.0,False,False,False,exynos,8.0,,5000.0,1,,6.0,64.0,6.5,60,720 x 1600 ,3,1.0,android,48.0,8.0,1,1024.0
samsung,Samsung Galaxy F14,14990,67.0,False,True,False,exynos,8.0,,5000.0,1,25.0,4.0,64.0,6.62,60,2408 x 1080 ,3,1.0,android,50.0,16.0,1,1024.0
oneplus,OnePlus Nord 5,34999,76.0,True,True,False,dimensity,8.0,,5000.0,1,120.0,8.0,128.0,6.57,120,1080 x 2400 ,3,1.0,android,64.0,32.0,0,0.0
vivo,Vivo S17 Pro,49990,77.0,True,True,False,dimensity,8.0,,5000.0,1,120.0,12.0,256.0,6.67,120,1080 x 2400 ,3,1.0,android,50.0,32.0,0,0.0
apple,Apple iPhone 14 Pro Max (512GB),169900,78.0,True,True,False,bionic,6.0,,4323.0,1,,6.0,512.0,6.7,120,1290 x 2796 ,3,1.0,ios,48.0,12.0,0,0.0
google,Google Pixel 8,53990,75.0,True,True,False,google,8.0,,4830.0,1,67.0,8.0,128.0,6.6,120,1080 x 2400 ,2,1.0,android,50.0,10.1,0,0.0
apple,Apple iPhone 14 Pro (1TB),172999,77.0,True,True,False,bionic,6.0,,3200.0,1,,6.0,1024.0,6.1,120,1179 x 2556 ,3,1.0,ios,48.0,12.0,0,0.0
samsung,Samsung Galaxy S23 FE 5G,54999,77.0,True,True,False,exynos,8.0,,4500.0,1,,8.0,128.0,6.5,60,1080 x 2400 ,4,1.0,android,64.0,32.0,0,0.0
samsung,Samsung Galaxy M51s 5G,24990,72.0,True,False,False,exynos,8.0,,6000.0,1,,6.0,128.0,6.7,60,1080 x 2400 ,3,1.0,android,64.0,32.0,1,1024.0
poco,Poco X6 Pro 5G,19999,72.0,True,False,False,snapdragon,8.0,,5000.0,1,,6.0,128.0,6.67,120,1080 x 2400 ,4,1.0,android,64.0,32.0,1,1024.0
samsung,Samsung Galaxy M14,14999,60.0,False,False,False,exynos,8.0,,6000.0,0,,4.0,64.0,6.5,60,720 x 1600 ,3,1.0,android,48.0,8.0,1,512.0
vivo,Vivo T2 Pro 5G,29990,76.0,True,False,False,snapdragon,8.0,,4500.0,1,67.0,8.0,128.0,6.44,90,1080 x 2408 ,3,1.0,android,50.0,16.0,1,1024.0
huawei,Huawei Nova Y61,21990,63.0,False,False,False,snapdragon,8.0,,5000.0,1,22.0,4.0,64.0,6.52,60,720 x 1600 ,3,1.0,other,50.0,5.0,1,
iqoo,iQOO Z9,19990,76.0,True,False,False,snapdragon,8.0,,5000.0,1,45.0,8.0,128.0,6.67,120,1080 x 2412 ,3,1.0,android,64.0,16.0,1,1024.0
apple,Apple iPhone 15 Plus,84990,75.0,True,True,False,bionic,6.0,,4532.0,1,,8.0,128.0,6.71,120,1284 x 2778 ,2,1.0,ios,12.0,12.0,0,0.0
samsung,Samsung Galaxy M35,22999,74.0,False,True,False,exynos,8.0,,6000.0,1,,8.0,128.0,6.5,60,1080 x 2400 ,3,1.0,android,64.0,32.0,1,1024.0
samsung,Samsung Galaxy A05,12990,63.0,False,False,False,exynos,8.0,,5000.0,1,18.0,4.0,64.0,6.5,60,720 x 1560 ,2,1.0,android,48.0,5.0,1,1024.0
